"location","source","expert","n_ms","mean_ms","sd_ms","n_tv","mean_tv","sd_tv","d_diff","t","df","p.value","sitesource_label","yi","vi"
"byui","byui",1,38,2.60526315789474,2.02069661100847,34,1.83333333333333,2.16841421366403,0.368312219079745,1.55715936123095,67.7330940290747,0.124093178984365,"Brigham Young University - Idaho",0.36508496804047,0.0566531585815743
"cnj","cnj",1,58,1.67816091954023,1.73594665484439,39,1.27350427350427,2.20561722391524,0.203885608815901,0.962665788962054,68.3443268130772,0.339109043662852,"The College of New Jersey",0.207198371655935,0.0431036996174368
"illinois","illinois",0,44,0.606060606060606,1.99776713506786,45,-0.785185185185185,1.78398537436189,0.734594955731884,3.46266707152835,85.4364121002455,0.000837947365546793,"University of Illinois",0.728713071239841,0.0479327687708197
"ithaca","ithaca",0,42,0.0555555555555555,2.66861378777987,39,0.11965811965812,1.85983584053168,-0.0278700361145117,-0.126140321953562,73.4322025756625,0.899965586903612,"Ithaca College",-0.0274248025671858,0.0494551921653386
"kansas","kansas_inhouse",0,35,1.20952380952381,3.035827152293,40,1.31666666666667,3.02971983510065,-0.0353283234154394,-0.15262555749027,71.6456997651105,0.879122587398913,"University of Kansas",-0.0349663161751226,0.053579579526541
"occid","occid",1,21,0.793650793650794,2.76380613260488,17,0.568627450980392,1.73511409279986,0.0975176338434604,0.305980271050447,34.1090111279674,0.761479500560102,"Occidental College",0.0932446872116958,0.106556979289933
"pace","pace_expert",1,29,1.52873563218391,2.19399838191276,30,1.68888888888889,2.00942860549011,-0.0761279260020797,-0.292115947201242,56.1639684449181,0.771274333778578,"Pace University",-0.0751789125918744,0.067863989148078
"pace","pace_inhouse",0,24,0.111111111111111,5.32577967499012,34,2.19607843137255,5.93291205351466,-0.369837357288908,-1.40025073502148,52.7388256626473,0.167294081829222,"Pace University",-0.361404650046939,0.0722044082783727
"plu","plu",0,30,-0.177777777777778,2.1401710343321,30,0.322222222222222,1.78646107354883,-0.25364417113952,-0.982359650685944,56.2049797990488,0.330132604896208,"Pacific Lutheran University",-0.250347705221583,0.0671889497792476
"riverside","riverside",1,4,2.33333333333333,1.24721912892465,6,0.444444444444445,0.88610675721675,1.74600206378774,2.6200397088612,5.01783580864159,0.0469325474646748,"University of California, Riverside",1.64525925076638,0.552010566778285
"ufl","ufl",0,60,0.922222222222222,1.17629868394387,38,0.868421052631579,1.23643261349456,0.0445838848095474,0.213853992621857,75.9301075351491,0.831234140307556,"University of Florida",0.0444891896109728,0.0429925545484746
"upenn","upenn",0,41,0.195121951219512,2.23479505617169,45,-0.155555555555556,1.7532077383292,0.174597779703071,0.804260330127837,75.7762060516094,0.423762679236047,"University of Pennsylvania",0.174022569822426,0.0467885350479613
"uwmadison","uwmadison_expert",1,32,0.864583333333333,2.27477892895711,31,0.881720430107527,1.68115565872557,-0.00856806455974611,-0.034078644799085,57.0655201780416,0.972933360790334,"University of Wisconsin",-0.00844192787440906,0.0635086301204642
"uwmadison","uwmadison_inhouse",0,32,-0.927083333333333,1.77342868003033,36,-0.740740740740741,2.05033657494245,-0.0972109293693628,-0.401823288110018,65.9573614959414,0.689113179479722,"University of Wisconsin",-0.0956844992173449,0.0590950978027077
"vcu","vcu",1,27,1.49382716049383,2.0007912331678,12,1.22222222222222,1.13113274175106,0.167119717581256,0.537976963199128,34.5763164867042,0.594039231289465,"Virginia Commonwealth University",0.148882886455428,0.120654551317541
"wesleyan","wesleyan_inhouse",0,42,-0.222222222222222,1.46257127159006,53,-0.559748427672956,1.81608857528262,0.204706271905839,1.00336505667588,92.9679549875438,0.31828918296952,"Wesleyan University",0.200537821975913,0.042889108432788
"wpi","wpi",0,71,0.511737089201878,1.60932894021917,70,0.542857142857143,1.95288417827495,-0.0173916174127097,-0.103184506068681,133.387051150084,0.917971509085233,"Worcester Polytechnic Institute",-0.0173094838838432,0.028371283803969
