"location","sitesource","expert","n_tv","mean_tv","sd_tv","n_ms","mean_ms","sd_ms","d_diff","t","df","p.value","yi","vi"
"ashland","ashland",1,25,1.82666666666667,1.85372497860289,22,1.39393939393939,2.02010100757563,-0.223205028844987,-0.761467274847967,42.9958066899569,0.450534629160064,-0.220090578464247,0.0859698631431489
"azusa","azusa",0,15,0.222222222222222,1.00527708149645,15,0.088888888888889,1.535126625596,-0.102758924701985,-0.28141690522126,24.1421156988422,0.780788684824516,-0.0999774579511868,0.133499924868306
"cnj","cnj",1,39,1.27350427350427,2.20561722391524,58,1.67816091954023,1.73594665484439,0.203885608815901,0.962665788962054,68.3443268130772,0.339109043662852,0.207198371655935,0.0431036996174368
"illinois","illinois",0,45,-0.785185185185185,1.78398537436189,44,0.606060606060606,1.99776713506786,0.734594955731884,3.46266707152835,85.4364121002455,0.000837947365546792,0.728713071239851,0.0479327687708198
"ithaca","ithaca",0,88,-0.416666666666667,2.12943249684527,90,-0.52962962962963,2.77805491751067,-0.0456400703254618,-0.304883344516153,166.569216352448,0.760835614368883,-0.0453783228893705,0.0224805317224673
"kansas","kansas_expert",1,11,1.75757575757576,2.41334672690072,17,0.803921568627451,2.48623662369848,-0.389236638260463,-1.00912299265196,21.9738813120225,0.323899304537532,-0.376590796704094,0.152265131538038
"kansas","kansas_inhouse",0,40,1.31666666666667,3.02971983510065,35,1.20952380952381,3.035827152293,-0.0353283234154394,-0.15262555749027,71.6456997651105,0.879122587398913,-0.0349663161751231,0.053579579526541
"occid","occid",1,17,0.568627450980392,1.73511409279986,21,0.793650793650794,2.76380613260488,0.0975176338434604,0.305980271050447,34.1090111279674,0.761479500560102,0.0932446872116958,0.106556979289933
"pace","pace_expert",1,30,1.68888888888889,2.00942860549011,29,1.52873563218391,2.19399838191276,-0.0761279260020797,-0.292115947201242,56.1639684449181,0.771274333778578,-0.0751789125918733,0.067863989148078
"plu","plu",0,125,0.370666666666667,1.85215944876674,121,0.358126721763085,1.97116495413255,-0.00655653216761888,-0.0513848217518465,241.827638740534,0.95906129772634,-0.00653968936761767,0.0162645497358056
"riverside","riverside",1,6,0.444444444444445,0.88610675721675,4,2.33333333333333,1.24721912892465,1.74600206378774,2.6200397088612,5.01783580864159,0.0469325474646748,1.64525925076638,0.552010566778285
"sou","sou_inhouse",0,14,-1.02380952380952,1.67670966817613,15,-0.177777777777778,1.24637039175325,0.57269020926331,1.53349757999537,23.9511222991883,0.138257653479251,0.559602881050171,0.143494468862129
"ufl","ufl",0,107,0.990654205607477,1.46765114466716,145,0.760919540229885,1.23146971830101,-0.169581267733017,-1.31352927660401,204.184077441505,0.190478702215524,-0.171348758212928,0.0163006008724968
"upenn","upenn",0,45,-0.155555555555556,1.7532077383292,41,0.195121951219512,2.23479505617169,0.174597779703071,0.804260330127837,75.7762060516094,0.423762679236047,0.174022569822426,0.0467885350479613
"uwmadison","uwmadison_expert",1,31,0.881720430107527,1.68115565872557,32,0.864583333333333,2.27477892895711,-0.00856806455974611,-0.034078644799085,57.0655201780416,0.972933360790334,-0.00844192787440894,0.0635086301204642
"uwmadison","uwmadison_inhouse",0,36,-0.740740740740741,2.05033657494245,32,-0.927083333333333,1.77342868003033,-0.0972109293693628,-0.401823288110018,65.9573614959414,0.689113179479722,-0.0956844992173435,0.0590950978027077
"vcu","vcu",1,12,1.22222222222222,1.13113274175106,27,1.49382716049383,2.0007912331678,0.167119717581256,0.537976963199128,34.5763164867042,0.594039231289465,0.148882886455427,0.120654551317541
"wesleyan","wesleyan_inhouse",0,97,-0.202749140893471,1.8108192724763,78,-0.094017094017094,1.77435429053308,0.0606533665508526,0.399253857772097,166.380671001765,0.690218165990201,0.0603226353419704,0.0231401878005557
"wpi","wpi",0,70,0.542857142857143,1.95288417827495,71,0.511737089201878,1.60932894021917,-0.0173916174127097,-0.103184506068681,133.387051150084,0.917971509085233,-0.0173094838838437,0.028371283803969
"byui","byui",1,34,1.83333333333333,2.16841421366403,38,2.60526315789474,2.02069661100847,0.368312219079745,1.55715936123095,67.7330940290747,0.124093178984365,0.365084968040465,0.0566531585815742
"pace","pace_inhouse",0,34,2.19607843137255,5.93291205351466,24,0.111111111111111,5.32577967499012,-0.369837357288908,-1.40025073502148,52.7388256626473,0.167294081829222,-0.361404650046944,0.0722044082783728
