"location","sitesource","expert","n_tv","mean_tv","sd_tv","n_ms","mean_ms","sd_ms","d_diff","t","df","p.value","yi","vi"
"ashland","ashland",1,17,2.43137254901961,1.84753854974949,14,1.76190476190476,2.28868854108532,-0.321883806811253,-0.882915714273968,24.876000939592,0.385734825471355,-0.316951341054234,0.131872393624144
"azusa","azusa",0,15,0.222222222222222,1.00527708149645,15,0.088888888888889,1.535126625596,-0.102758924701985,-0.28141690522126,24.1421156988422,0.780788684824516,-0.0999774579511868,0.133499924868306
"cnj","cnj",1,21,1.98412698412698,2.31054632903656,30,1.74444444444444,1.6601789437165,-0.119137323420416,-0.407417588834105,34.0048795728828,0.686254861349686,-0.120898415532677,0.0810956792551095
"illinois","illinois",0,45,-0.785185185185185,1.78398537436189,44,0.606060606060606,1.99776713506786,0.734594955731884,3.46266707152835,85.4364121002455,0.000837947365546792,0.728713071239851,0.0479327687708198
"ithaca","ithaca",0,88,-0.416666666666667,2.12943249684527,90,-0.52962962962963,2.77805491751067,-0.0456400703254618,-0.304883344516153,166.569216352448,0.760835614368883,-0.0453783228893705,0.0224805317224673
"kansas","kansas_expert",1,6,2.88888888888889,2.78620942553911,10,0.666666666666667,2.22222222222222,-0.881819129227673,-1.66205623828633,8.83051111417259,0.131514074598865,-0.861388864330545,0.289853878403938
"kansas","kansas_inhouse",0,40,1.31666666666667,3.02971983510065,35,1.20952380952381,3.035827152293,-0.0353283234154394,-0.15262555749027,71.6456997651105,0.879122587398913,-0.0349663161751231,0.053579579526541
"occid","occid",1,6,0.5,1.37840487520902,10,2.1,3.42124805759608,0.613460624892919,1.31202183481667,12.8372142537774,0.212490498352157,0.528071859938846,0.275381038206019
"pace","pace_expert",1,16,2,2.21108319357027,16,2.20833333333333,2.16324516170258,0.0952470228150906,0.269399262881521,29.9856585337583,0.789467656039018,0.0928424525008963,0.125134683140412
"plu","plu",0,125,0.370666666666667,1.85215944876674,121,0.358126721763085,1.97116495413255,-0.00655653216761888,-0.0513848217518465,241.827638740534,0.95906129772634,-0.00653968936761767,0.0162645497358056
"riverside","riverside",1,3,1,0.881917103688197,3,2.33333333333333,1.52752523165195,1.0690449676497,1.30930734141595,3.2,0.276510415200328,0.852974474491693,0.727297121177865
"sou","sou_inhouse",0,14,-1.02380952380952,1.67670966817613,15,-0.177777777777778,1.24637039175325,0.57269020926331,1.53349757999537,23.9511222991883,0.138257653479251,0.559602881050171,0.143494468862129
"ufl","ufl",0,107,0.990654205607477,1.46765114466716,145,0.760919540229885,1.23146971830101,-0.169581267733017,-1.31352927660401,204.184077441505,0.190478702215524,-0.171348758212928,0.0163006008724968
"upenn","upenn",0,45,-0.155555555555556,1.7532077383292,41,0.195121951219512,2.23479505617169,0.174597779703071,0.804260330127837,75.7762060516094,0.423762679236047,0.174022569822426,0.0467885350479613
"uwmadison","uwmadison_expert",1,19,1.17543859649123,1.64942347223908,21,1.44444444444444,2.28116279640531,0.135143830318407,0.430211286584023,36.3178960445808,0.66958414724962,0.131376951541276,0.10046637535887
"uwmadison","uwmadison_inhouse",0,36,-0.740740740740741,2.05033657494245,32,-0.927083333333333,1.77342868003033,-0.0972109293693628,-0.401823288110018,65.9573614959414,0.689113179479722,-0.0956844992173435,0.0590950978027077
"vcu","vcu",1,7,1.61904761904762,1.22366437283861,14,2.19047619047619,1.87978124620327,0.360290427997172,0.836809044261953,17.3585566394002,0.414072300101196,0.322627700547029,0.216764015075244
"wesleyan","wesleyan_inhouse",0,97,-0.202749140893471,1.8108192724763,78,-0.094017094017094,1.77435429053308,0.0606533665508526,0.399253857772097,166.380671001765,0.690218165990201,0.0603226353419704,0.0231401878005557
"wpi","wpi",0,70,0.542857142857143,1.95288417827495,71,0.511737089201878,1.60932894021917,-0.0173916174127097,-0.103184506068681,133.387051150084,0.917971509085233,-0.0173094838838437,0.028371283803969
"byui","byui",1,28,1.89285714285714,2.22602188385372,31,2.68817204301075,1.98500953234201,0.377112120086943,1.44227553969307,54.4383991127444,0.154953582637992,0.373246931683317,0.0691529711796606
"pace","pace_inhouse",0,34,2.19607843137255,5.93291205351466,24,0.111111111111111,5.32577967499012,-0.369837357288908,-1.40025073502148,52.7388256626473,0.167294081829222,-0.361404650046944,0.0722044082783728
